,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,mahebourg,mu,-20.4081,57.7,79.54,81,64,7.4
1,klaksvik,fo,62.2266,-6.5891,38.75,100,88,20.04
2,tiarei,pf,-17.5334,-149.3334,81.03,100,76,21.27
3,east london,za,-33.0153,27.9116,67.93,100,0,4.05
4,saskylakh,ru,71.9167,114.0833,4.48,79,64,5.95
5,tarakan,id,3.3,117.6333,85.48,88,0,3.38
6,nome,us,64.5011,-165.4064,26.26,91,92,15.9
8,ushuaia,ar,-54.8,-68.3001,33.4,100,44,17.81
10,kapaa,us,22.0752,-159.319,68.45,100,88,7.74
11,maningrida,au,-12.0667,134.2667,87.73,76,8,12.55
12,bluff,nz,-46.6,168.3333,56.59,93,76,13.56
13,rikitea,pf,-23.1203,-134.9692,73.38,100,36,16.69
14,cape town,za,-33.9259,18.4232,59.02,93,0,5.95
15,anito,ph,12.4497,125.2886,82.96,97,92,14.79
16,busselton,au,-33.6501,115.3333,65.59,100,0,11.77
17,georgetown,sh,-7.9334,-14.4167,74.01,100,76,13.78
19,punta arenas,cl,-53.1501,-70.9167,36.52,100,32,27.87
20,skelleftea,se,64.7507,20.9528,21.36,100,80,12.88
21,togur,ru,58.3631,82.8265,21.27,84,64,8.97
23,hilo,us,19.7297,-155.09,70.79,100,24,10.98
24,san cristobal,ec,-0.9045,-89.6175,69.19,100,12,13
25,port alfred,za,-33.5906,26.891,66.94,78,0,3.71
26,mehamn,no,71.0357,27.8492,20.73,75,36,2.93
28,tecoanapa,mx,16.5167,-98.75,74.1,99,88,0.92
29,luderitz,na,-26.6481,15.1594,57.27,75,0,12.21
31,pacific grove,us,36.6177,-121.9167,41.45,98,0,2.71
35,castro,cl,-42.4721,-73.7732,41.74,99,0,6.96
37,nouadhibou,mr,20.931,-17.0347,67.19,76,68,8.41
38,lebu,cl,-37.6167,-73.6501,55.2,99,92,13.33
40,cockburn town,tc,21.4612,-71.1419,80.49,99,76,18.7
41,dikson,ru,73.5069,80.5464,-2.37,100,20,18.7
44,hovd,mn,48.0056,91.6419,17.04,68,0,3.04
45,mar del plata,ar,-38.0023,-57.5576,51.1,70,32,19.15
46,verkh-usugli,ru,52.7,115.1667,4.39,48,0,3.15
47,tiksi,ru,71.6872,128.8694,6.06,81,76,4.61
49,caluquembe,ao,-13.7834,14.6833,65.46,64,8,2.59
51,pimenta bueno,br,-11.6725,-61.1937,73.96,94,48,2.04
52,pingliang,cn,35.5392,106.6861,35.49,82,80,6.85
53,simao,cn,22.7886,100.9748,76.53,66,0,2.93
55,roebourne,au,-20.7834,117.1333,101.01,17,0,10.65
57,longyearbyen,sj,78.2186,15.6401,21.04,100,48,6.29
58,talnakh,ru,69.4865,88.3972,-26.52,40,0,2.37
59,bukachacha,ru,52.9833,116.9167,0.84,48,0,3.49
61,saint-philippe,re,-21.3586,55.7679,76.96,100,0,11.43
62,iraray,ph,8.9936,118.0511,82.51,100,56,5.28
64,cinnaminson,us,39.9968,-74.9927,61.11,74,92,14.79
65,atuona,pf,-9.8,-139.0334,80.08,100,92,15.35
66,kavieng,pg,-2.5745,150.7967,83.59,100,80,4.94
67,shar,kz,49.5886,81.0453,35.49,86,88,15.46
69,kwinana,au,-32.25,115.7667,73.76,89,0,11.1
72,edd,er,13.9297,41.6925,77.79,51,0,7.74
73,saint george,bm,32.3817,-64.6781,68,100,0,8.19
74,xiongzhou,cn,25.1167,114.3,47.1,100,92,5.95
75,jamestown,sh,-15.9388,-5.7168,66.31,100,92,15.46
77,hammerfest,no,70.6634,23.6821,26.67,100,64,4.05
79,puerto ayora,ec,-0.7394,-90.3518,67.21,100,44,12.44
80,nador,ma,35.174,-2.9287,51.71,100,0,6.96
82,torbay,ca,47.6666,-52.7314,39.6,100,76,14.12
84,haines junction,ca,60.7522,-137.5109,-6.18,76,48,2.04
85,mount gambier,au,-37.8334,140.7667,75.63,79,68,4.16
86,gobabis,na,-22.4501,18.9667,69.28,36,0,5.39
88,iqaluit,ca,63.7506,-68.5145,14.83,100,0,21.72
89,ponta do sol,cv,17.1994,-25.092,75.9,100,0,10.42
90,krasnodar,ru,45.0328,38.9769,45.16,76,32,4.05
92,salinopolis,br,-0.6137,-47.3562,80.13,97,0,12.21
93,santa cruz cabralia,br,-16.2781,-39.0248,71.2,100,32,5.95
97,albany,au,-35.017,117.8917,69.46,77,80,6.29
98,barrow,us,71.2906,-156.7888,8.69,100,36,10.42
100,cabo san lucas,mx,22.8909,-109.9124,77.27,100,0,1.7
102,pisco,pe,-13.7,-76.2167,57.27,95,0,4.38
103,hermanus,za,-34.4188,19.2345,62.94,66,0,3.6
105,saldanha,za,-33.0117,17.9442,58.69,89,0,3.6
106,nalut,ly,31.8685,10.9812,37.83,81,0,2.37
110,new norfolk,au,-42.7827,147.0587,79.36,46,80,4.72
112,santa marta,co,11.2408,-74.1991,78.15,100,56,15.46
114,rovaniemi,fi,66.5,25.7167,10.6,87,80,6.17
115,los llanos de aridane,es,28.6585,-17.9183,67.3,100,0,9.42
116,hofn,is,64.2539,-15.2082,32.88,100,0,10.98
117,itoman,jp,26.1247,127.6694,69.96,100,44,20.38
118,cherskiy,ru,68.75,161.3,3.13,83,92,12.21
119,okha,ru,53.5739,142.9478,19.2,95,32,26.08
120,westport,ie,53.8,-9.5167,42.69,100,92,5.17
121,kirkwood,za,-33.3983,25.4428,70.52,47,0,3.38
122,berbera,so,10.4396,45.0143,71.76,87,88,4.61
124,aykhal,ru,66,111.5,-11.04,70,68,3.15
125,kahului,us,20.8947,-156.4701,69.6,96,44,6.73
127,buchanan,lr,5.8808,-10.0467,78.19,100,100,3.94
128,port hardy,ca,50.6996,-127.4199,45.48,94,92,14.12
130,hasaki,jp,35.7333,140.8333,53.69,100,0,15.23
131,hobart,au,-42.8794,147.3294,78.28,55,48,3.15
133,mount pleasant,us,32.7941,-79.8626,66.11,69,0,15.01
134,vardo,no,70.3705,31.1107,36.93,100,92,6.4
135,avarua,ck,-21.2078,-159.775,78.22,98,76,20.49
136,kurilsk,ru,45.2333,147.8833,34.54,100,56,13.56
137,padang,id,-0.9493,100.3543,81.75,100,44,8.97
138,rio gallegos,ar,-51.6227,-69.2182,37.56,99,44,34.25
139,kirakira,sb,-10.4545,161.9205,83.19,100,80,8.63
141,sayat,tm,38.7839,63.8803,48.9,86,0,4.72
142,sur,om,22.5667,59.5289,78.69,94,0,9.98
143,bambous virieux,mu,-20.3428,57.7575,79.54,81,64,7.4
145,havre,us,48.55,-109.6841,28.15,77,0,11.88
146,batagay-alyta,ru,67.8006,130.4114,-3.93,72,64,3.94
148,kodiak,us,57.79,-152.4073,29.1,100,56,2.59
151,arawa,pg,-6.2132,155.5367,81.61,100,64,4.61
152,carnarvon,au,-24.8667,113.6333,75.36,80,0,12.88
153,manyana,bw,-23.4,21.7167,73.29,14,0,11.65
157,severobaykalsk,ru,55.65,109.3167,5.83,81,76,2.15
159,coquimbo,cl,-29.9534,-71.3437,53.82,100,0,4.38
160,sai buri,th,6.7013,101.6168,96.51,67,24,4.27
163,bay city,us,43.5945,-83.8889,37.9,100,64,18.81
164,luganville,vu,-15.5334,167.1667,75.04,100,92,15.01
165,yerbogachen,ru,61.2767,108.0108,-22.38,32,44,3.15
167,vaini,to,-21.2001,-175.2,80.74,100,76,9.42
173,ciudad guayana,ve,8.3533,-62.6528,80.58,79,0,6.51
174,hami,cn,42.8,93.45,41.43,59,0,5.5
176,labytnangi,ru,66.6572,66.4183,14.83,88,80,6.51
178,innisfail,au,-17.5334,146.0333,78.15,72,56,3.6
179,sokolo,ml,14.7328,-6.1219,62.89,32,88,6.4
180,tandlianwala,pk,31.0333,73.1333,65.28,92,0,4.61
183,qiongshan,cn,20.0058,110.3542,76.59,92,80,16.24
185,halvad,in,23.0167,71.1833,79.54,52,0,10.2
189,villamontes,bo,-21.25,-63.5,61.86,63,44,4.83
190,sorland,no,67.667,12.6934,39.27,100,0,15.01
192,clyde river,ca,70.4692,-68.5915,-18.91,91,0,3.38
193,kruisfontein,za,-34.0034,24.7314,64.96,75,0,4.5
201,port elizabeth,za,-33.918,25.5701,58.68,98,0,4.61
203,khatanga,ru,71.9667,102.5,-14.19,65,8,12.66
207,le port,re,-20.9373,55.2919,76.82,100,32,0.58
208,victoria,sc,-4.6167,55.45,82.15,100,32,13.11
210,margate,za,-30.8636,30.3705,71.49,89,0,4.72
214,bengkulu,id,-3.8005,102.2655,75.58,100,92,13.78
